MutationType	IGC-03-1328-T07	NSLC-1060-T01	NSLC-0101-T01-R1	IGC-02-1001-T03	NSLC-1070-T01	IGC-02-1097-T01	NSLC-0097-T01	NSLC-0112-T01	NSLC-0170-T01	IGC-02-1194-T01	NSLC-0168-T01	IGC-10-1061-T01	NSLC-1063-T01	IGC-13-1146-T01	IGC-10-1037-T03	NSLC-1069-T01	IGC-03-1321-T01	IGC-13-1174-T01	IGC-04-1164-T01	IGC-02-1212-T01	IGC-02-1025-T01	NSLC-1074-T01	NSLC-0107-T01-R1	NSLC-1050-T01	NSLC-1067-T01	IGC-08-1089-T01	IGC-02-1105-T01	IGC-03-1076-T06	IGC-03-1254-T10	NSLC-0092-T08	NSLC-1052-T01	NSLC-1061-T01	NSLC-1072-T01	IGC-11-1120-T01	IGC-02-1169-T01	IGC-11-1128-T07	IGC-04-1089-T01	IGC-13-1081-T01	NSLC-0111-T01	IGC-03-1265-T04	IGC-02-1029-T01	NSLC-1055-T01	NSLC-0109-T01	IGC-09-1008-T01	IGC-12-1086-T01	IGC-09-1113-T01	IGC-02-1017-T01	IGC-11-1053-T02	NSLC-1058-T01	NSLC-1076-T01	NSLC-1064-T01	IGC-13-1166-T01	IGC-03-1294-T03	NSLC-0105-T01-R1	IGC-10-1141-T01	IGC-11-1108-T02	IGC-10-1044-T01	IGC-03-1026-T02	NSLC-1071-T01	IGC-03-1088-T03	NSLC-1068-T01	IGC-08-1024-T01	NSLC-0106-T01	NSLC-0113-T01	IGC-04-1059-T02	NSLC-0095-T01	IGC-12-1069-T01	IGC-10-1180-T01	IGC-10-1185-T01	IGC-02-1074-T01	IGC-13-1182-T01	IGC-12-1088-T01	NSLC-0102-T01	NSLC-1059-T01	IGC-04-1041-T03	IGC-11-1132-T01	NSLC-1075-T01	NSLC-0171-T01	NSLC-0100-T02	IGC-03-1263-T05	NSLC-1065-T01	IGC-03-1267-T01	IGC-12-1114-T01	NSLC-0103-T01-R1	NSLC-1056-T01	IGC-02-1016-T01	IGC-03-1049-T03	NSLC-0104-T02	IGC-09-1042-T02	IGC-10-1045-T01	NSLC-0090-T01-R1	IGC-09-1086-T02	IGC-10-1021-T04	NSLC-1054-T01	NSLC-0110-T01	IGC-11-1087-T02	NSLC-0093-T02	IGC-10-1055-T01	NSLC-0167-T03	IGC-11-1085-T02	IGC-04-1154-T01	NSLC-0108-T01	NSLC-1066-T01	NSLC-0098-T02	NSLC-1077-T01	NSLC-1051-T01	NSLC-0169-T01	NSLC-1073-T01
2:LOH:1Mb-10Mb	1	0	2	2	0	2	0	0	1	1	0	3	1	0	1	7	1	1	1	0	0	0	2	3	3	0	1	0	2	0	7	0	3	0	0	0	2	0	0	1	0	0	0	0	1	4	1	1	5	6	0	2	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	2	1	3	2	1	5	2	0	0	1	3	1	1	0	2	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	1	2	2	0	0	1	0	0	0
2:LOH:10Mb-40Mb	0	2	1	1	0	0	1	0	0	1	0	2	1	0	2	1	0	0	3	0	1	0	1	2	1	1	1	2	1	0	6	0	0	1	2	2	4	2	0	1	0	2	0	2	1	2	0	1	2	4	0	2	0	0	1	2	1	4	0	1	0	5	0	0	1	1	1	0	1	2	1	1	1	0	2	1	1	2	0	1	2	0	3	1	0	0	2	0	1	2	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
2:LOH:>40Mb	0	3	0	0	1	1	0	0	3	0	0	1	3	1	0	0	1	2	0	0	1	0	1	3	2	1	0	2	0	0	3	0	0	1	0	1	0	1	0	0	0	3	1	1	2	1	0	1	0	1	0	1	0	0	1	2	1	2	1	2	0	2	0	0	2	0	0	2	1	2	3	2	0	0	3	1	0	0	0	2	0	1	1	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3-4:LOH:0-100kb	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	1	1	0	0	0	0	1	2	0	3	0	2	2	4	0	0	4	0	0	0	0	1	6	1	0	1	0	0	2	0	1	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	3	0	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
3-4:LOH:>40Mb	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
5-8:LOH:1Mb-10Mb	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2:het:100kb-1Mb	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
2:het:1Mb-10Mb	2	0	0	1	1	0	3	0	0	0	8	1	0	0	0	3	2	1	1	0	1	2	0	1	1	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	1	0	4	0	0	0	0	1	2	1	5	1	0	2	0	0	0	0	0	2	0	2	0	0	1	4	0	0	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0
2:het:10Mb-40Mb	1	0	1	2	1	1	3	1	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	5	0	0	2	0	0	3	3	0	0	0	0	0	0	1	0	1	4	1	1	1	2	3	3	0	1	1	4	1	2	2	1	0	0	0	0	0	2	1	0	2	2	0	0	0	0	1	0	3	1	1	2	0	1	0	1	0	0	0	0	0	0	0	4	2	0	0	0	2	1	0	2	2	2	2	1	2	0	0	0	0	0	0	0	0
2:het:>40Mb	1	1	0	1	0	0	3	1	2	0	5	1	0	0	0	1	3	0	0	2	0	3	2	0	0	7	7	0	0	6	0	2	3	0	4	1	1	0	0	0	3	0	2	1	0	2	4	0	1	1	3	1	2	6	0	0	0	0	1	1	7	2	5	4	1	0	0	0	0	0	2	3	2	0	0	2	0	0	4	0	2	1	0	0	1	0	2	2	1	0	0	1	0	1	1	3	4	2	1	2	0	0	0	3	0	0	0	0
3-4:het:0-100kb	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
3-4:het:100kb-1Mb	0	0	0	2	2	8	0	0	0	0	3	4	0	2	0	0	1	1	1	1	1	0	0	1	1	0	0	2	3	3	4	0	2	0	2	2	2	2	0	0	0	0	0	0	4	5	1	1	3	1	0	5	1	0	0	0	2	2	0	2	2	4	0	0	1	0	2	0	0	3	0	1	2	1	2	0	0	1	0	0	0	0	1	1	0	2	1	0	0	4	0	1	0	0	0	4	0	2	0	3	0	0	1	0	0	0	1	0
3-4:het:1Mb-10Mb	5	1	11	10	8	8	2	2	7	7	8	14	1	3	0	4	4	5	6	0	4	0	2	3	6	1	3	3	3	0	17	4	3	1	1	8	5	0	0	3	2	2	0	4	15	0	1	2	4	4	1	6	1	0	1	2	1	7	4	6	7	4	0	3	0	1	3	1	2	6	0	6	3	5	9	4	1	3	0	1	0	4	4	0	0	1	1	1	1	15	0	4	0	0	0	1	0	3	0	0	3	1	0	0	0	0	0	0
3-4:het:10Mb-40Mb	2	3	5	3	3	4	0	2	0	2	1	7	0	2	0	4	0	4	2	0	2	0	1	8	9	0	1	2	1	0	7	3	1	0	1	4	5	2	1	2	2	1	0	3	4	7	0	1	5	7	2	2	0	0	2	0	2	3	0	1	1	0	0	0	1	3	3	4	3	5	5	7	3	5	4	0	1	2	0	2	3	2	0	0	0	4	1	2	2	8	0	4	3	0	0	1	1	1	0	0	3	2	3	0	2	1	0	0
3-4:het:>40Mb	2	1	5	7	2	7	0	4	8	6	0	2	1	6	3	3	1	4	0	4	6	0	8	0	0	2	1	1	8	1	2	2	0	3	0	3	5	1	4	1	0	1	0	3	0	2	0	1	5	4	1	4	0	0	1	6	2	3	2	5	0	2	0	2	1	6	2	2	3	3	3	4	4	3	0	1	3	2	2	1	2	3	3	1	1	4	1	0	4	2	2	1	5	0	1	3	2	0	2	1	3	1	3	0	0	4	5	1
5-8:het:0-100kb	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:100kb-1Mb	3	0	2	1	0	4	0	0	3	1	0	2	0	0	1	2	2	0	2	0	0	0	2	5	1	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	4	4	0	0	3	0	0	1	0	0	0	3	2	6	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:1Mb-10Mb	1	0	2	0	1	5	0	0	1	4	0	11	0	9	2	3	4	10	7	2	0	0	0	3	7	0	1	2	1	1	2	0	1	1	2	8	3	0	2	2	0	1	0	3	8	6	1	0	0	4	0	1	0	0	1	1	1	2	9	0	1	0	0	0	0	3	0	0	0	4	1	0	2	2	6	0	0	2	0	0	2	0	2	0	0	2	1	0	1	10	0	2	1	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0
5-8:het:10Mb-40Mb	0	3	1	0	0	0	0	0	2	0	0	4	0	0	2	1	1	1	6	0	2	0	0	1	3	0	0	0	0	0	1	0	0	1	0	2	3	1	1	2	0	2	0	1	1	3	0	0	0	1	0	0	1	0	3	0	1	2	0	0	0	0	0	0	0	3	4	0	0	2	1	0	0	2	1	0	0	2	0	2	1	0	0	1	0	0	2	0	0	2	0	1	1	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0
5-8:het:>40Mb	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	4	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
